Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Pos_06a,20190805_Blank_Pos_06a,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
5.09_371.1018m/z,,371.1018102,1,5.08955,0.445366667,0,100 - 35.9 - 25.3 - 5.37,19440.08701,---,19440.08701,19440.08701,,,,,,,,,,
5.09_608.1816n,608.1815825,626.2154081,1,5.08955,0.247383333,0,100 - 57.3 - 41.2 - 16.6 - 6.83,57337.37385,---,57337.37385,57337.37385,,,"M+NH4, M+Na",,,,,,,
5.09_832.2171n,832.217135,850.2510855,1,5.08955,0.280333333,0,100 - 80.6 - 66.6 - 35.1 - 17.2 - 10.4 - 5.18,109198.1589,---,109198.1589,109198.1589,,,"M+H-H2O, M+NH4",,,,,,,
5.09_891.2777m/z,,891.2776766,1,5.08955,0.263866667,0,100 - 83.1 - 73.5 - 42.7 - 21.8 - 10.5 - 4.41 - 1.6,110350.9645,---,110350.9645,110350.9645,,,,,,,,,,
5.11_682.2413m/z,,682.2413048,1,5.106033333,0.1321,0,100 - 60.3 - 55.4 - 23.1,4523.252002,---,4523.252002,4523.252002,,,,,,,,,,
5.14_732.1722m/z,,732.1722229,1,5.138966667,0.395633333,0,100 - 67.4 - 55 - 28.5 - 12.2,25582.7136,---,25582.7136,25582.7136,,,,,,,,,,
5.16_773.1976m/z,,773.1976003,1,5.155433333,0.230916667,0,100 - 70.5 - 58.3 - 43.8,9289.298982,---,9289.298982,9289.298982,,,,,,,,,,
5.25_531.4075m/z,,531.4074526,1,5.254266667,0.1321,0,100 - 42.8,1334.579638,---,1334.579638,1334.579638,,,,,,,,,,
5.25_672.2029m/z,,672.2028598,1,5.254266667,0.1815,0,100 - 64.4 - 56.8 - 27.8,6205.898713,---,6205.898713,6205.898713,,,,,,,,,,
5.30_522.1499m/z,,522.1498861,1,5.303666667,0.16505,0,100 - 50.3 - 35.7 - 11.2 - 4.32,12829.81245,---,12829.81245,12829.81245,,,,,,,,,,
5.30_746.1853m/z,,746.185277,1,5.303666667,0.643333333,0,100 - 69.9 - 60 - 29.1 - 14.6 - 6.39 - 2.9,135672.4978,---,135672.4978,135672.4978,,,,,,,,,,
5.30_787.2125m/z,,787.2125189,1,5.303666667,0.445366667,0,100 - 76.3 - 63.2 - 39.4 - 21.3 - 16.1,62897.18664,---,62897.18664,62897.18664,,,,,,,,,,
5.30_797.2866m/z,,797.286601,1,5.303666667,0.115633333,0,100 - 74.1 - 68.1,3455.637632,---,3455.637632,3455.637632,,,,,,,,,,
5.42_727.2449m/z,,727.2449301,1,5.4193,0.131766667,0,100 - 74.6,2077.154095,---,2077.154095,2077.154095,,,,,,,,,,
5.42_951.2787m/z,,951.2787117,1,5.4193,0.4289,0,100 - 91.7 - 80.1 - 50.8 - 29.4 - 14.3,29533.31258,---,29533.31258,29533.31258,,,,,,,,,,
5.44_580.1911m/z,,580.1910713,1,5.435766667,0.1153,0,100 - 50.2,1548.938632,---,1548.938632,1548.938632,,,,,,,,,,
5.44_689.2166m/z,,689.2166314,1,5.435766667,0.19765,0,100 - 49.2,3642.218946,---,3642.218946,3642.218946,,,,,,,,,,
5.44_910.2506m/z,,910.2506419,1,5.435766667,0.445383333,0,100 - 86.1 - 79 - 41.8 - 21.2 - 12.4,27642.70167,---,27642.70167,27642.70167,,,,,,,,,,
